AccountId,CampaignId,CampaignName,AdsetId,AdsetName,AdId,AdName,AdInsightsDate,Age,Gender,Impressions,Frequency,LinkClicks,Reach,Spend,CampaignStartTime,CampaignEndTime,CampaignObjective
456314083428718,120211077368390192,Lexus Enter to Win,120211077368570192,Utah Fans + Retargeting,120211077368590192,Lexus Enter To Win,2024-10-01,18-24,female,152,1.125926,4,135,0.81,2024-10-01 15:13:25,2024-10-23 23:59:00,OUTCOME_TRAFFIC
456314083428718,120211077368390192,Lexus Enter to Win,120211077368570192,Utah Fans + Retargeting,120211077368590192,Lexus Enter To Win,2024-10-01,18-24,male,219,1.123077,8,195,1.15,2024-10-01 15:13:25,2024-10-23 23:59:00,OUTCOME_TRAFFIC
456314083428718,120211077368390192,Lexus Enter to Win,120211077368570192,Utah Fans + Retargeting,120211077368590192,Lexus Enter To Win,2024-10-01,18-24,unknown,3,1,0,3,0.01,2024-10-01 15:13:25,2024-10-23 23:59:00,OUTCOME_TRAFFIC
456314083428718,120211077368390192,Lexus Enter to Win,120211077368570192,Utah Fans + Retargeting,120211077368590192,Lexus Enter To Win,2024-10-01,25-34,female,71,1.075758,2,66,0.37,2024-10-01 15:13:25,2024-10-23 23:59:00,OUTCOME_TRAFFIC
456314083428718,120211077368390192,Lexus Enter to Win,120211077368570192,Utah Fans + Retargeting,120211077368590192,Lexus Enter To Win,2024-10-01,25-34,male,203,1.134078,10,179,1.18,2024-10-01 15:13:25,2024-10-23 23:59:00,OUTCOME_TRAFFIC
456314083428718,120211077368390192,Lexus Enter to Win,120211077368570192,Utah Fans + Retargeting,120211077368590192,Lexus Enter To Win,2024-10-01,35-44,female,66,1.157895,3,57,0.36,2024-10-01 15:13:25,2024-10-23 23:59:00,OUTCOME_TRAFFIC
456314083428718,120211077368390192,Lexus Enter to Win,120211077368570192,Utah Fans + Retargeting,120211077368590192,Lexus Enter To Win,2024-10-01,35-44,male,198,1.207317,17,164,1.23,2024-10-01 15:13:25,2024-10-23 23:59:00,OUTCOME_TRAFFIC
456314083428718,120211077368390192,Lexus Enter to Win,120211077368570192,Utah Fans + Retargeting,120211077368590192,Lexus Enter To Win,2024-10-01,35-44,unknown,3,3,0,1,0.02,2024-10-01 15:13:25,2024-10-23 23:59:00,OUTCOME_TRAFFIC
456314083428718,120211077368390192,Lexus Enter to Win,120211077368570192,Utah Fans + Retargeting,120211077368590192,Lexus Enter To Win,2024-10-01,45-54,female,75,1.071429,3,70,0.43,2024-10-01 15:13:25,2024-10-23 23:59:00,OUTCOME_TRAFFIC
456314083428718,120211077368390192,Lexus Enter to Win,120211077368570192,Utah Fans + Retargeting,120211077368590192,Lexus Enter To Win,2024-10-01,45-54,male,173,1.201389,8,144,0.99,2024-10-01 15:13:25,2024-10-23 23:59:00,OUTCOME_TRAFFIC
